NodeType,NodeEID,NodeLabel,HabQuantity,HabUnits,BarrierPerm,NaturalTF,DownstreamEID,DownstreamNodeLabel,DownstreamNeighDistance,DistanceUnits
Branch Junction,943,159,387.03,Metres,1,F,858,133,387.03,Metres
Branch Junction,972,115,927.45,Metres,1,F,858,133,927.45,Metres
Source Junction,797,231,15.23,Metres,1,F,796,228,15.23,Metres
Branch Junction,838,210,518.15,Metres,1,F,796,228,518.15,Metres
Source Junction,883,391,596.38,Metres,1,F,824,420,596.38,Metres
Branch Junction,884,438,877.89,Metres,1,F,824,420,877.89,Metres
Source Junction,1060,501,93.48,Metres,1,F,627,512,93.48,Metres
Barrier,1062,300012,305.58,Metres,1,F,627,512,305.58,Metres
Barrier,1225,300204,3234.86,Metres,1,F,1223,1236,3234.86,Metres
Barrier,1557,300093,4282.24,Metres,1,F,1223,1236,4282.24,Metres
Barrier,1573,300017,3757.72,Metres,1,F,1223,1236,3757.72,Metres
Branch Junction,1078,676,20.52,Metres,1,F,1077,675,20.52,Metres
Source Junction,1083,745,425.3,Metres,1,F,1077,675,425.3,Metres
Source Junction,1075,622,970.18,Metres,1,F,1068,300135,970.18,Metres
Barrier,1191,300082,147.88,Metres,1,F,1187,905,147.88,Metres
Barrier,1196,100021,289.98,Metres,0,F,1187,905,289.98,Metres
Branch Junction,1266,1082,773.44,Metres,1,F,1216,300144,773.44,Metres
Source Junction,703,1032,13.35,Metres,1,F,702,1033,13.35,Metres
